ID,emailSubject,emailSender,emailReceived,vendorName,invoiceNumber,invoiceDate,invoiceAmount,currency_code,status,ocrConfidenceScore,errorMessage,totalAttachmentCount
d6e1bce7-1234-4567-8901-abcdef123456,January Office Supplies Invoice,supplies@vendor1.com,2024-01-15T09:30:00Z,Office Supplies Co.,INV-2024-001,2024-01-14,1250.50,USD,NEW,0.00,,2
e7f2cde8-2345-5678-9012-bcdef234567,IT Equipment Invoice Q1,billing@techvendor.com,2024-01-16T10:15:00Z,Tech Solutions Ltd,INV-2024-002,2024-01-15,5500.75,EUR,OCR_COMPLETE,95.50,,1
f8g3def9-3456-6789-0123-cdef345678,Marketing Services - Feb 2024,accounts@marketingpro.com,2024-01-17T11:45:00Z,Marketing Pro Services,INV-2024-003,2024-01-16,3750.25,GBP,VALIDATION,88.75,,3
h9i4efg0-4567-7890-1234-defg456789,Cloud Services Subscription,billing@cloudprovider.com,2024-01-18T13:20:00Z,Cloud Provider Inc.,INV-2024-004,2024-01-17,2100.00,USD,APPROVED,97.25,,1
j0k5fgh1-5678-8901-2345-efgh567890,Consulting Services - Jan,finance@consultancy.com,2024-01-19T14:10:00Z,Business Consultants LLC,INV-2024-005,2024-01-18,4500.00,EUR,COMPLETED,96.80,,2
l1m6ghi2-6789-9012-3456-fghi678901,Office Furniture Invoice,sales@furniture.com,2024-01-20T15:30:00Z,Modern Furniture Co.,INV-2024-006,2024-01-19,7500.25,USD,OCR_FAILED,45.20,OCR processing failed due to poor image quality,1
n2o7hij3-7890-0123-4567-ghij789012,Training Materials Q1,edu@training.com,2024-01-21T16:45:00Z,Professional Training Ltd,INV-2024-007,2024-01-20,1800.50,GBP,REJECTED,92.30,Invoice amount exceeds approved budget,2
p3q8ijk4-8901-1234-5678-hijk890123,Software Licenses 2024,licenses@software.com,2024-01-22T17:55:00Z,Software Solutions Inc.,INV-2024-008,2024-01-21,3200.75,USD,ERROR,0.00,System error during processing,1
r4s9jkl5-9012-2345-6789-ijkl901234,Maintenance Contract,service@maintenance.com,2024-01-23T09:25:00Z,Maintenance Services Co.,INV-2024-009,2024-01-22,950.00,EUR,PENDING_OCR,0.00,,2
t5u0klm6-0123-3456-7890-jklm012345,Security Equipment,billing@security.com,2024-01-24T10:40:00Z,Security Systems Ltd,INV-2024-010,2024-01-23,6200.25,USD,NEW,0.00,,3
